Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,145,0,500.0,534.3071805105488,79.94733400119003,1262.044541996147,10859.041379310345,2.4508822881296757,0.0,500,720,770,850,950,960,970,970,1300,1300,1300
GET,/cart,141,0,200.0,261.6757115818034,70.06779099901905,871.666125000047,10765.81560283688,2.3832717422502365,0.0,200,240,300,360,560,670,850,860,870,870,870
POST,/cart,145,0,270.0,344.4774167100871,138.7115410034312,1094.587291998323,17046.6,2.4508822881296757,0.0,270,320,390,500,660,720,950,950,1100,1100,1100
POST,/cart/checkout,46,0,190.0,226.21259600070871,86.49933300330304,523.6512499977835,6983.891304347826,0.7775212776135523,0.0,200,230,320,340,430,470,520,520,520,520,520
GET,/product/0PUK6V6EV0,77,0,150.0,211.2846521171401,71.22720900224522,849.9656659987522,8170.25974025974,1.3015030081792072,0.0,150,190,240,290,450,570,730,850,850,850,850
GET,/product/1YMWWN1N4O,87,0,210.0,248.38732862027146,72.1222080028383,902.5567920034518,8194.48275862069,1.4705293728778055,0.0,210,260,300,330,450,580,880,900,900,900,900
GET,/product/2ZYFJ3GM2N,69,0,200.0,272.45912324640125,73.53933400008827,988.4339580021333,8188.695652173913,1.1662819164203284,0.0,200,280,330,400,550,700,900,990,990,990,990
GET,/product/66VCHSJNUP,85,0,160.0,252.87543282345936,72.9395000016666,978.037790999224,8151.117647058823,1.4367240999380857,0.0,160,230,290,340,580,740,890,980,980,980,980
GET,/product/6E92ZMYYFZ,76,0,160.0,231.18294467138568,74.45020900195232,1000.0301669933833,8138.960526315789,1.2846003717093473,0.0,160,210,250,290,510,800,880,1000,1000,1000,1000
GET,/product/9SIQT8TOJO,73,0,180.0,230.85649706886153,69.57937499828404,882.8786250014673,8190.356164383562,1.2338924622997678,0.0,180,220,270,310,480,640,780,880,880,880,880
GET,/product/L9ECAV7KIM,69,0,170.0,246.59792455065104,72.986833001778,933.7053339986596,8153.782608695652,1.1662819164203284,0.0,170,250,300,370,470,600,890,930,930,930,930
GET,/product/LS4PSXUNUM,71,0,190.0,248.60742718287133,73.71904199681012,926.0740000026999,8155.971830985915,1.2000871893600482,0.0,190,230,330,370,480,640,890,930,930,930,930
GET,/product/OLJCESPC7Z,64,0,200.0,235.76717762489352,70.349833004002,842.4685830032104,8186.765625,1.0817687340710294,0.0,210,230,300,310,430,470,770,840,840,840,840
POST,/setCurrency,118,0,320.0,371.1354622711828,130.8015839967993,1004.452000001038,10889.271186440677,1.9945111034434602,0.0,320,370,450,500,700,820,940,960,1000,1000,1000
,Aggregated,1266,0,220.0,300.8455170332243,69.57937499828404,1262.044541996147,9994.060821484993,21.398737770842548,0.0,220,300,380,450,660,830,950,960,1100,1300,1300
