Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,150,0,420.0,415.96526638687163,95.38795799744548,866.5257500033476,10858.86,2.530767860008922,0.0,420,460,490,540,670,730,760,850,870,870,870
GET,/cart,149,0,200.0,250.28093564425652,71.43708299554419,1022.2038339998107,10098.174496644295,2.513896074275529,0.0,200,240,290,330,460,630,900,910,1000,1000,1000
POST,/cart,143,0,310.0,376.9030113708268,131.6422500021872,1716.652791001252,17002.734265734267,2.4126653598751724,0.0,310,400,440,490,570,890,1100,1600,1700,1700,1700
POST,/cart/checkout,44,1,190.0,218.7605889771062,86.16449999681208,522.18645800167,6943.659090909091,0.7423585722692838,0.016871785733392812,190,270,290,320,370,440,520,520,520,520,520
GET,/product/0PUK6V6EV0,68,0,180.0,260.0917542942411,74.26287500129547,957.6566670002649,8161.705882352941,1.1472814298707112,0.0,180,240,280,310,650,810,860,960,960,960,960
GET,/product/1YMWWN1N4O,62,0,190.0,264.06518819379517,76.17362499877345,1003.5810839981423,8185.564516129032,1.0460507154703544,0.0,200,230,300,330,490,740,910,1000,1000,1000,1000
GET,/product/2ZYFJ3GM2N,91,0,200.0,248.8377110770031,71.49199999548728,997.730415998376,8182.340659340659,1.535332501738746,0.0,200,240,260,320,520,710,950,1000,1000,1000,1000
GET,/product/66VCHSJNUP,76,0,190.0,263.33443309244774,73.23045800148975,992.7852920009173,8141.513157894737,1.2822557157378538,0.0,200,260,290,330,680,790,940,990,990,990,990
GET,/product/6E92ZMYYFZ,67,0,150.0,215.2699066865529,72.78458299697377,936.0363749947282,8135.761194029851,1.1304096441373186,0.0,150,210,250,290,400,500,740,940,940,940,940
GET,/product/9SIQT8TOJO,81,0,180.0,269.06313372842027,68.81974999851082,988.7028749944875,8195.345679012345,1.366614644404818,0.0,180,260,330,380,590,760,970,990,990,990,990
GET,/product/L9ECAV7KIM,76,0,200.0,271.90083827697794,75.15241700457409,991.7690840011346,8153.75,1.2822557157378538,0.0,210,260,340,390,530,740,860,990,990,990,990
GET,/product/LS4PSXUNUM,66,0,240.0,302.7120151968892,70.90404199698241,957.6250830068602,8153.363636363636,1.1135378584039257,0.0,250,310,390,430,650,780,940,960,960,960,960
GET,/product/OLJCESPC7Z,74,0,170.0,223.28100274279603,73.64037500519771,815.7075840063044,8183.283783783784,1.2485121442710683,0.0,170,210,260,330,490,600,790,820,820,820,820
POST,/setCurrency,109,0,300.0,392.8377427436559,123.29541699727997,1201.695917006873,10889.504587155963,1.8390246449398167,0.0,300,420,510,570,760,880,1000,1200,1200,1200,1200
,Aggregated,1256,1,230.0,299.4649187477503,68.81974999851082,1716.652791001252,9916.769904458599,21.190962881141374,0.016871785733392812,230,310,390,440,590,740,930,990,1600,1700,1700
