Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,141,0,3400.0,3397.1784884468834,147.18779199756682,6998.370082998008,10883.595744680852,2.3881784587890564,0.0,3400,5400,5700,6200,6700,7000,7000,7000,7000,7000,7000
GET,/cart,151,0,300.0,488.19111229111525,76.39458399353316,2200.2978329983307,9914.185430463576,2.557552817568422,0.0,300,410,590,650,1100,1700,1900,2200,2200,2200,2200
POST,/cart,125,0,480.0,627.3051013681106,141.606083001534,2886.680791998515,16999.456,2.1171794847420715,0.0,480,540,580,630,1400,2000,2400,2700,2900,2900,2900
POST,/cart/checkout,40,0,320.0,420.86729167476733,93.37841700471472,1958.6644169976353,7001.025,0.6774974351174629,0.0,320,370,440,500,880,1900,2000,2000,2000,2000,2000
GET,/product/0PUK6V6EV0,66,0,220.0,392.68552907599246,73.52466700103832,1915.8810829976574,8170.545454545455,1.1178707679438138,0.0,230,290,360,400,970,1700,1800,1900,1900,1900,1900
GET,/product/1YMWWN1N4O,64,0,310.0,459.2234909534909,96.01250000559958,2242.208000003302,8195.234375,1.0839958961879406,0.0,310,330,520,680,1200,1500,1700,2200,2200,2200,2200
GET,/product/2ZYFJ3GM2N,58,0,250.0,450.4567515174005,81.82200000010198,2101.389666000614,8192.896551724138,0.9823712809203211,0.0,250,370,420,650,1300,1800,1900,2100,2100,2100,2100
GET,/product/66VCHSJNUP,67,0,320.0,450.0020192085753,91.83770800154889,1834.5869160039001,8153.522388059701,1.1348082038217502,0.0,320,380,520,590,980,1400,1800,1800,1800,1800,1800
GET,/product/6E92ZMYYFZ,69,0,280.0,481.99246137685975,83.7021250044927,2231.365374995221,8148.869565217391,1.1686830755776234,0.0,280,400,440,730,1300,1700,1800,2200,2200,2200,2200
GET,/product/9SIQT8TOJO,73,0,260.0,409.3233481368882,76.57470800040755,2302.445166002144,8193.794520547945,1.2364328190893696,0.0,260,370,500,550,990,1200,1300,2300,2300,2300,2300
GET,/product/L9ECAV7KIM,64,0,270.0,438.62031575019955,77.71649999631336,2272.7902499973425,8155.640625,1.0839958961879406,0.0,270,350,440,480,1000,1500,2100,2300,2300,2300,2300
GET,/product/LS4PSXUNUM,56,0,270.0,401.1028534457312,98.16670800501015,1705.5220420006663,8157.035714285715,0.948496409164448,0.0,280,330,490,520,940,1100,1400,1700,1700,1700,1700
GET,/product/OLJCESPC7Z,57,0,270.0,406.78060821052276,104.34429100132547,1787.8491250012303,8192.82456140351,0.9654338450423846,0.0,270,350,400,500,880,1600,1700,1800,1800,1800,1800
POST,/setCurrency,104,0,870.0,1462.2499483177587,226.05966600531247,6807.489624996379,10902.884615384615,1.7614933313054035,0.0,890,1100,1200,1500,4400,5400,5800,5800,6800,6800,6800
,Aggregated,1135,0,370.0,923.7736237207157,73.52466700103832,6998.370082998008,9922.3718061674,19.223989721458008,0.0,370,580,870,1100,2100,5400,6300,6800,7000,7000,7000
