Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,151,0,460.0,465.3291506290903,76.55920900288038,1293.0541249952512,10856.966887417218,2.551343978471994,0.0,460,530,610,660,760,780,820,1300,1300,1300,1300
GET,/cart,139,0,180.0,202.24810907880612,76.073541000369,609.0301250005723,10513.244604316547,2.3485881656132923,0.0,180,230,250,270,320,370,570,580,610,610,610
POST,/cart,158,0,280.0,310.7604520251076,132.09337499574758,1429.6725419990253,17067.13924050633,2.6696182026395694,0.0,280,330,370,380,440,540,940,1100,1400,1400,1400
POST,/cart/checkout,56,0,180.0,205.05996578555954,86.3413750048494,1313.5907910036622,6983.410714285715,0.9461937933406069,0.0,180,200,220,220,270,330,420,1300,1300,1300,1300
GET,/product/0PUK6V6EV0,77,0,170.0,203.97006873997282,74.05858400306897,1077.0128749936703,8161.532467532467,1.3010164658433345,0.0,170,220,250,270,330,360,540,1100,1100,1100,1100
GET,/product/1YMWWN1N4O,79,0,170.0,190.13906213964404,72.67345899890643,1024.2115419969196,8187.569620253164,1.3348091013197847,0.0,170,200,230,250,280,340,410,1000,1000,1000,1000
GET,/product/2ZYFJ3GM2N,70,0,170.0,212.75910362902712,67.7341670016176,1341.8845000051078,8172.871428571429,1.1827422416757587,0.0,170,200,220,230,320,570,760,1300,1300,1300,1300
GET,/product/66VCHSJNUP,72,0,160.0,219.58755211087717,73.15333299629856,1017.8315840021241,8155.958333333333,1.2165348771522089,0.0,160,210,240,290,340,600,960,1000,1000,1000,1000
GET,/product/6E92ZMYYFZ,73,0,180.0,207.49752335641085,70.99724999716273,833.4125420005876,8148.945205479452,1.233431194890434,0.0,180,210,230,260,320,570,750,830,830,830,830
GET,/product/9SIQT8TOJO,85,0,160.0,189.45102354122997,71.43154199729906,915.3528749957331,8200.164705882353,1.4361870077491354,0.0,160,190,200,220,290,370,860,920,920,920,920
GET,/product/L9ECAV7KIM,87,0,170.0,220.7923242301264,73.25599999603583,1128.8727920036763,8154.954022988506,1.4699796432255856,0.0,170,220,260,280,320,620,920,1100,1100,1100,1100
GET,/product/LS4PSXUNUM,65,0,180.0,201.01291283107668,75.40079199679894,879.176374997769,8156.676923076923,1.098260652984633,0.0,180,200,230,250,290,430,790,880,880,880,880
GET,/product/OLJCESPC7Z,81,0,150.0,189.3046430740031,69.12025000201538,1133.775667003647,8189.740740740741,1.3686017367962349,0.0,150,180,220,230,280,310,720,1100,1100,1100,1100
POST,/setCurrency,120,0,310.0,360.8056659587722,128.79145800252445,1214.069040994218,10885.933333333332,2.027558128587015,0.0,310,360,420,460,650,900,1000,1200,1200,1200,1200
,Aggregated,1313,0,200.0,260.8885029482409,67.7341670016176,1429.6725419990253,9995.613861386139,22.184865190289585,0.0,200,260,310,340,480,660,850,1000,1300,1400,1400
