Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,153,0,390.0,383.94586735941834,80.01262500329176,934.1921669984004,10859.385620915033,2.5842139546137477,0.0,390,480,490,520,580,590,820,840,930,930,930
GET,/cart,149,0,190.0,218.6157896978708,70.98899999982677,956.0383749994799,10687.657718120805,2.516652805473519,0.0,190,220,250,260,360,470,740,770,960,960,960
POST,/cart,166,0,250.0,290.35377786747256,122.00233399926219,1017.687792002107,17224.37951807229,2.803787689319491,0.0,250,290,330,350,520,530,720,770,1000,1000,1000
POST,/cart/checkout,46,0,150.0,173.6811694131377,83.3132910047425,523.0226250059786,6983.217391304348,0.77695321511263,0.0,150,180,200,220,250,330,520,520,520,520,520
GET,/product/0PUK6V6EV0,58,0,140.0,186.1430538617775,70.79033400077606,957.0491249978659,8162.775862068966,0.9796366625333162,0.0,150,180,200,220,320,470,810,960,960,960,960
GET,/product/1YMWWN1N4O,87,0,160.0,218.21691048259302,70.56641700182809,1061.8838329974096,8192.011494252874,1.4694549937999741,0.0,160,210,240,260,440,640,800,1100,1100,1100,1100
GET,/product/2ZYFJ3GM2N,80,0,160.0,189.9226208498476,67.44816699938383,633.9682910038391,8182.2875,1.3512229828045739,0.0,160,200,220,250,350,460,550,630,630,630,630
GET,/product/66VCHSJNUP,73,0,160.0,223.16880889022835,69.22525000118185,902.5739999997313,8154.945205479452,1.2329909718091738,0.0,160,210,250,290,480,590,810,900,900,900,900
GET,/product/6E92ZMYYFZ,87,0,180.0,219.3679032645231,71.96037500398234,868.6985000022105,8144.126436781609,1.4694549937999741,0.0,180,230,260,290,400,630,700,870,870,870,870
GET,/product/9SIQT8TOJO,74,0,160.0,198.52450563593192,69.43558299826691,949.9201250000624,8187.418918918919,1.249881259094231,0.0,160,200,210,220,310,470,640,950,950,950,950
GET,/product/L9ECAV7KIM,75,0,180.0,220.4157878406113,69.13854199956404,928.4481670038076,8159.88,1.2667715463792881,0.0,180,220,250,300,390,630,900,930,930,930,930
GET,/product/LS4PSXUNUM,82,0,160.0,241.36609603649447,67.24991699593375,1143.9696669986006,8155.317073170731,1.3850035573746884,0.0,160,220,270,290,440,800,1100,1100,1100,1100,1100
GET,/product/OLJCESPC7Z,75,0,160.0,218.98538270654777,69.60049999906914,859.8014999952284,8191.533333333334,1.2667715463792881,0.0,160,210,230,300,450,730,770,860,860,860,860
POST,/setCurrency,113,0,290.0,342.5908149375227,126.56420800340129,1163.40416699677,10890.106194690265,1.9086024632114607,0.0,290,340,380,440,590,710,870,990,1200,1200,1200
,Aggregated,1318,0,200.0,253.41997200148992,67.24991699593375,1163.40416699677,10099.047040971169,22.261398641705355,0.0,200,260,310,360,490,590,770,900,1100,1200,1200
